Id,IdPropietario,Nombre,Tipo,Raza,Fecha nacimiento,Peso,Color,Notas
None,1,Coco,Gato,Persa,01-10-2020,3.5,Gris,Mascota 1
None,3,Pipo,Conejo,Salvaje,01-01-2022,1.2,Verd,Mascota 2
None,4,Hugo,Perro,Pastor,31-07-2019,13.5,Azul,Mascota 3
None,4,Pluto,Perro,Pastor,25-01-2021,10.7,Rosa,Mascota 4
None,4,Robin,Gato,siamés,26-03-2023,4.8,Negro,Mascota 5
None,6,Simba,Perro,Chihuahua,10-05-2023,10.0,Marrón claro,Mascota 6
None,2,Nemo,Gato,angora,01-01-2020,2.7,Blanco,Mascota 7
None,5,Bobi,Perro,Terrier,01-01-2020,15.5,Manchas negras,Mascota 8
None,5,Dartacan,Perro,Terrier,01-01-2020,4.5,Manchas blancas,Mascota 9
None,4,Leo,Perro,Terrier,01-01-2020,4.0,Gris claro,Mascota 10
None,1,Piolin,Pájaro,Canario,01-01-2020,0.5,Amarillo,Mascota 11
None,3,Sansón,Perro,Labrador,01-01-2020,0.5,Blanco con machas marrones,Mascota 12
None,3,Cani,Gato,Persa,01-01-2020,0.5,Negro claro,Mascota 13
None,8,Brian,Perro,Labrador,29-05-2024,5.9,Amarillo,Mascota 14
None,2,Joseph,Gato,Persa,01-09-2015,7.3,Negro,Mascota 15
None,6,Theresa,Perro,Chihuahua,18-06-2016,9.7,Amarillo,Mascota 16
None,1,David,Perro,Chihuahua,20-08-2022,19.6,Manchas blancas,Mascota 17
None,10,Rebecca,Conejo,Mini Lop,10-12-2014,13.5,Blanco,Mascota 18
None,1,Derrick,Gato,Persa,06-05-2016,17.0,Negro,Mascota 19
None,2,Joseph,Perro,Labrador,17-01-2019,18.3,Azul,Mascota 20
None,3,Sonya,Gato,Siamés,30-12-2023,13.9,Manchas blancas,Mascota 21
None,9,Michael,Perro,Bulldog,18-08-2015,16.9,Manchas negras,Mascota 22
None,5,Taylor,Conejo,Salvaje,27-10-2017,1.1,Manchas negras,Mascota 23
